name,age,reason
Richard Phillips Feynman, 69, for their fundamental work in quantum electrodynamics (QED) with deep-ploughing consequences for the physics of elementary particles
Shin'ichirō Tomonaga, 73, for their fundamental work in quantum electrodynamics (QED) with deep-ploughing consequences for the physics of elementary particles
Julian Schwinger, 76, for their fundamental work in quantum electrodynamics (QED) with deep-ploughing consequences for the physics of elementary particles
Rudolf Ludwig Mössbauer, 82, for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name
Erwin Schrödinger, 73, for the discovery of new productive forms of atomic theory
Paul Dirac, 82, for the discovery of new productive forms of atomic theory
Maria Skłodowska-Curie, 66, for their joint researches on the radiation phenomena discovered by Professor Henri Becquerel
Pierre Curie, 46, for their joint researches on the radiation phenomena discovered by Professor Henri Becquerel
